Datetime;Latitude;Longitude;Altitude;Distance;HeartRate;Speed;Cadence;Watts
2020-10-10 10:01:56+00:00;61.49964236654341;23.759590834379196;97.80000305175781;0.0;123;1.437000036239624;None;None
2020-10-10 10:01:57+00:00;61.49965829215944;23.759586475789547;97.0;1.7899999618530273;124;1.7730000019073486;None;None
2020-10-10 10:01:58+00:00;61.499674301594496;23.75958220101893;97.5999984741211;3.5299999713897705;126;1.7730000019073486;None;None
2020-10-10 10:01:59+00:00;61.49969274178147;23.759587733075023;97.80000305175781;5.599999904632568;127;1.7730000019073486;None;None
2020-10-10 10:02:00+00:00;61.49970766156912;23.759580943733454;98.0;7.239999771118164;129;1.781999945640564;None;None
2020-10-10 10:02:01+00:00;61.49972274899483;23.75957926735282;98.0;8.890000343322754;130;1.7730000019073486;None;None
2020-10-10 10:02:02+00:00;61.49974160827696;23.75957884825766;98.19999694824219;10.979999542236328;131;1.7640000581741333;None;None
2020-10-10 10:02:03+00:00;61.49975895881653;23.75958069227636;98.0;12.920000076293945;133;1.7730000019073486;None;None
2020-10-10 10:02:04+00:00;61.49978343397379;23.759581446647644;98.19999694824219;15.619999885559082;135;1.7910000085830688;None;None
2020-10-10 10:02:05+00:00;61.49980749003589;23.75957725569606;98.4000015258789;18.290000915527344;136;1.847000002861023;None;None
2020-10-10 10:02:06+00:00;61.49983364157379;23.759565772488713;98.19999694824219;21.270000457763672;136;1.8940000534057617;None;None
2020-10-10 10:02:07+00:00;61.499861888587475;23.759549595415592;98.4000015258789;24.520000457763672;138;1.9589999914169312;None;None
2020-10-10 10:02:08+00:00;61.49989088997245;23.7595371901989;98.5999984741211;27.81999969482422;139;2.0429999828338623;None;None
2020-10-10 10:02:09+00:00;61.49991980753839;23.759532747790217;98.5999984741211;31.040000915527344;140;2.1089999675750732;None;None
2020-10-10 10:02:10+00:00;61.49994327686727;23.759530233219266;98.5999984741211;33.65999984741211;141;2.1740000247955322;None;None
2020-10-10 10:02:11+00:00;61.499970434233546;23.75952009111643;98.4000015258789;36.70000076293945;141;2.2109999656677246;None;None
2020-10-10 10:02:12+00:00;61.499998178333044;23.759508607909083;98.4000015258789;39.84000015258789;142;2.249000072479248;None;None
2020-10-10 10:02:13+00:00;61.500026509165764;23.759495615959167;98.4000015258789;43.06999969482422;143;2.2950000762939453;None;None
2020-10-10 10:02:14+00:00;61.50005433708429;23.759483378380537;98.4000015258789;46.2400016784668;144;2.3420000076293945;None;None
2020-10-10 10:02:15+00:00;61.50008308701217;23.759469464421272;98.5999984741211;49.4900016784668;144;2.3889999389648438;None;None
2020-10-10 10:02:16+00:00;61.50010546669364;23.759459741413593;98.5999984741211;51.900001525878906;144;2.4260001182556152;None;None
2020-10-10 10:02:17+00:00;61.50013287551701;23.759441385045648;98.80000305175781;55.02000045776367;145;2.4630000591278076;None;None
2020-10-10 10:02:18+00:00;61.50016020052135;23.759424034506083;98.80000305175781;58.20000076293945;145;2.490999937057495;None;None
2020-10-10 10:02:19+00:00;61.5001957397908;23.759414730593562;99.0;62.20000076293945;146;2.5290000438690186;None;None
2020-10-10 10:02:20+00:00;61.50023044086993;23.759414479136467;99.0;66.05000305175781;147;2.6500000953674316;None;None
2020-10-10 10:02:21+00:00;61.50026438757777;23.75942495651543;99.0;69.87000274658203;147;2.8929998874664307;None;None
2020-10-10 10:02:22+00:00;61.50029716081917;23.75943132676184;99.0;73.54000091552734;149;2.938999891281128;None;None
2020-10-10 10:02:23+00:00;61.500331023707986;23.759436942636967;99.19999694824219;77.29000091552734;149;2.9579999446868896;None;None
2020-10-10 10:02:24+00:00;61.50037553161383;23.759434008970857;99.4000015258789;82.25;150;2.9860000610351562;None;None
2020-10-10 10:02:25+00:00;61.5004391502589;23.75938086770475;99.5999984741211;89.41999816894531;151;3.0320000648498535;None;None
2020-10-10 10:02:26+00:00;61.500497069209814;23.75933401286602;99.80000305175781;95.91000366210938;153;3.434000015258789;None;None
2020-10-10 10:02:27+00:00;61.50053093209863;23.75932420603931;100.0;99.68000030517578;153;4.039999961853027;None;None
2020-10-10 10:02:28+00:00;61.50057166814804;23.759301910176873;100.0;104.29000091552734;155;4.310999870300293;None;None
2020-10-10 10:02:29+00:00;61.50060779415071;23.75928707420826;100.19999694824219;108.3499984741211;155;4.263999938964844;None;None
2020-10-10 10:02:30+00:00;61.50064241141081;23.75926410779357;100.4000015258789;112.30000305175781;156;4.328999996185303;None;None
2020-10-10 10:02:31+00:00;61.5006740950048;23.75925589352846;100.19999694824219;115.87000274658203;155;4.375999927520752;None;None
2020-10-10 10:02:32+00:00;61.50070259347558;23.759245835244656;100.19999694824219;119.08000183105469;156;4.413000106811523;None;None
2020-10-10 10:02:33+00:00;61.50073301978409;23.75922756269574;100.5999984741211;122.61000061035156;156;4.432000160217285;None;None
2020-10-10 10:02:34+00:00;61.50076109915972;23.759218342602253;100.80000305175781;125.7699966430664;157;4.451000213623047;None;None
2020-10-10 10:02:35+00:00;61.50078607723117;23.759199483320117;101.0;128.72000122070312;158;4.460000038146973;None;None
2020-10-10 10:02:36+00:00;61.500806445255876;23.759171403944492;101.19999694824219;131.42999267578125;158;4.451000213623047;None;None
2020-10-10 10:02:37+00:00;61.500827986747026;23.75913418829441;101.4000015258789;134.52999877929688;159;4.440999984741211;None;None
2020-10-10 10:02:38+00:00;61.50084902532399;23.759097224101424;101.4000015258789;137.58999633789062;159;4.422999858856201;None;None
2020-10-10 10:02:39+00:00;61.500867465510964;23.75906864181161;101.4000015258789;140.14999389648438;159;4.394999980926514;None;None
